5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,complaint,positive
5/7/2024 1:48,complaint,positive
5/7/2024 1:48,complaint,positive
5/7/2024 1:48,complaint,positive
5/7/2024 2:47,complaint,neutral
5/7/2024 2:58,review,neutral
5/7/2024 2:59,edit_account,neutral
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,edit_account,positive
5/7/2024 1:48,track_order,positive
5/7/2024 2:47,track_order,neutral
5/7/2024 2:58,track_order,neutral
5/7/2024 2:59,review,neutral
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,negative
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,negative
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 2:47,review,negative
5/7/2024 2:58,review,neutral
5/7/2024 2:59,review,neutral
5/7/2024 1:48,review,negative
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,negative
5/7/2024 1:48,complaint,positive
5/7/2024 1:48,complaint,positive
5/7/2024 1:48,complaint,negative
5/7/2024 1:48,complaint,positive
5/7/2024 2:47,complaint,negative
5/7/2024 2:58,review,neutral
5/7/2024 2:59,review,neutral
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,negative
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,track_order,positive
5/7/2024 1:48,track_order,positive
5/7/2024 1:48,track_order,negative
5/7/2024 1:48,track_order,positive
5/7/2024 2:47,track_order,neutral
5/7/2024 2:58,track_order,neutral
5/7/2024 2:59,review,negative
5/7/2024 1:48,review,positive
5/7/2024 1:48,review,positive
5/7/2024 1:48,change_shipping_address,negative
5/7/2024 1:48,change_shipping_address,positive
5/7/2024 1:48,change_shipping_address,positive
5/7/2024 1:48,change_shipping_address,positive
5/7/2024 1:48,change_shipping_address,negative
5/7/2024 1:48,change_shipping_address,positive
5/7/2024 2:47,change_shipping_address,neutral
5/7/2024 2:58,review,negative
5/7/2024 2:59,review,neutral
2024-05-07 03:16:15,review,neutral
2024-05-07 03:18:34,review,neutral
2024-05-07 03:40:15,review,neutral
2024-05-08 15:55:35,review,neutral
2024-05-09 18:44:30,review,neutral
2024-05-09 18:47:21,review,negative
2024-05-09 18:51:57,review,neutral
2024-05-09 18:51:57,review,neutral
2024-05-12 17:02:52,Unknown,negative
2024-05-12 17:03:33,payment_issue,negative
2024-05-15 13:18:36,create_account,neutral
2024-05-15 13:18:57,track_order,neutral
2024-05-15 13:49:50,check_refund_policy,negative
2024-05-15 14:16:21,Unknown,neutral
2024-05-15 14:16:32,Unknown,neutral
2024-05-15 14:16:43,Unknown,neutral
2024-05-15 15:50:32,Unknown,neutral
2024-05-15 15:50:38,Unknown,neutral
2024-05-15 15:50:48,create_account,neutral
2024-05-15 15:51:18,create_account,negative
2024-05-22 15:14:18,recover_password,negative
2024-05-22 15:14:50,Unknown,neutral
2024-05-22 15:15:19,delivery_period,neutral
2024-05-22 15:16:15,contact_human_agent,neutral
